[ALERT] Time: 4s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 8s | People: 5 | Centroid: (4312, 1355)
[ALERT] Time: 8s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 9s | People: 5 | Centroid: (4312, 1354)
[ALERT] Time: 9s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 10s | People: 5 | Centroid: (4310, 1354)
[ALERT] Time: 10s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 11s | People: 5 | Centroid: (4311, 1354)
[ALERT] Time: 11s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 12s | People: 5 | Centroid: (4315, 1357)
[ALERT] Time: 12s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 13s | People: 5 | Centroid: (4314, 1355)
[ALERT] Time: 13s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 14s | People: 5 | Centroid: (4314, 1355)
[ALERT] Time: 14s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 15s | People: 5 | Centroid: (4314, 1355)
[ALERT] Time: 15s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 16s | People: 5 | Centroid: (4314, 1355)
[ALERT] Time: 16s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 17s | People: 5 | Centroid: (4314, 1355)
[ALERT] Time: 17s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 18s | People: 5 | Centroid: (4315, 1358)
[ALERT] Time: 18s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 19s | People: 5 | Centroid: (4315, 1358)
[ALERT] Time: 20s | People: 5 | Centroid: (4315, 1358)
[ALERT] Time: 21s | People: 5 | Centroid: (4315, 1358)
[ALERT] Time: 22s | People: 5 | Centroid: (4315, 1358)
[ALERT] Time: 22s | People: 4 | Centroid: (4916, 3210)
[ALERT] Time: 22s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 23s | People: 5 | Centroid: (4316, 1359)
[ALERT] Time: 23s | People: 4 | Centroid: (4914, 3210)
[ALERT] Time: 23s | People: 4 | Centroid: (2788, 3254)
[ALERT] Time: 24s | People: 5 | Centroid: (4315, 1360)
[ALERT] Time: 24s | People: 4 | Centroid: (4914, 3210)
[ALERT] Time: 24s | People: 4 | Centroid: (2788, 3254)
