device_id,timestamp,x,y,status
1,1,3693,4266,1
2,1,3693,4331,1
3,1,3239,3977,1
4,1,3851,3794,1
5,1,5813,2605,1
6,1,5791,3011,1
7,1,4161,1835,1
8,1,4362,1932,1
9,1,5940,1245,1
10,1,4266,760,1
11,1,3947,1005,1
12,1,3947,1005,1
13,1,2937,1123,1
14,1,2098,2836,1
15,1,2469,2618,1
16,1,3597,2369,1
17,1,4235,3243,1
18,1,4327,2714,1
19,1,2482,3746,1
20,1,2771,2526,1
1,2,3693,4209,1
2,2,3728,4275,1
3,2,3291,3947,1
4,2,3868,3807,1
5,2,5783,2683,1
6,2,5748,3042,1
7,2,4192,1844,1
8,2,4296,1971,1
9,2,5857,1289,1
10,2,4266,760,1
11,2,3947,1005,1
12,2,3947,1005,1
13,2,2885,1180,1
14,2,2098,2836,1
15,2,2377,2635,1
16,2,3562,2404,1
17,2,4235,3243,1
18,2,4327,2648,1
19,2,2482,3746,1
20,2,2762,2605,1
1,3,3698,4139,1
2,3,3746,4213,1
3,3,3339,3934,1
4,3,3903,3811,1
5,3,5730,2736,1
6,3,5704,3086,1
7,3,4161,1879,1
8,3,4270,1975,1
9,3,5800,1341,1
10,3,4266,760,1
11,3,3947,1005,1
12,3,3912,1009,1
13,3,2819,1241,1
14,3,2045,2876,1
15,3,2360,2723,1
16,3,3510,2452,1
17,3,4235,3243,1
18,3,4283,2648,1
19,3,2526,3746,1
20,3,2745,2666,1
1,4,3711,4065,1
2,4,3754,4165,1
3,4,3392,3934,1
4,4,3934,3824,1
5,4,5660,2788,1
6,4,5774,3107,1
7,4,4143,1892,1
8,4,4257,1962,1
9,4,5717,1390,1
10,4,4266,760,1
11,4,3947,1005,1
12,4,3868,1040,1
13,4,2736,1311,1
14,4,2028,2902,1
15,4,2382,2732,1
16,4,3466,2482,1
17,4,4205,3243,1
18,4,4283,2548,1
19,4,2614,3719,1
20,4,2675,2832,1
1,5,3715,4004,1
2,5,3759,4117,1
3,5,3435,3934,1
4,5,3921,3881,1
5,5,5617,2815,1
6,5,5717,3142,1
7,5,4196,1879,1
8,5,4218,1897,1
9,5,5656,1438,1
10,5,4266,760,1
11,5,3947,1005,1
12,5,3846,1110,1
13,5,2657,1381,1
14,5,2028,2998,1
15,5,2404,2732,1
16,5,3418,2526,1
17,5,4205,3243,1
18,5,4301,2452,1
19,5,2675,3715,1
20,5,2653,2858,1
1,6,3728,3934,1
2,6,3768,4074,1
3,6,3523,3929,1
4,6,3833,3886,1
5,6,5555,2858,1
6,6,5739,3099,1
7,6,4196,1879,1
8,6,4248,1945,1
9,6,5608,1494,1
10,6,4209,795,1
11,6,3947,1005,1
12,6,3837,1136,1
13,6,2631,1464,1
14,6,2080,2994,1
15,6,2412,2705,1
16,6,3374,2561,1
17,6,4205,3243,1
18,6,4301,2439,1
19,6,2718,3693,1
20,6,2648,2876,1
1,7,3746,3868,1
2,7,3776,4004,1
3,7,3593,3916,1
4,7,3973,3886,1
5,7,5525,2902,1
6,7,5687,3020,1
7,7,4196,1879,1
8,7,4222,1967,1
9,7,5560,1569,1
10,7,4143,848,1
11,7,3947,1005,1
12,7,3829,1175,1
13,7,2618,1477,1
14,7,2111,2981,1
15,7,2408,2675,1
16,7,3348,2596,1
17,7,4205,3243,1
18,7,4288,2404,1
19,7,2780,3667,1
20,7,2627,2946,1
1,8,3776,3789,1
2,8,3772,3964,1
3,8,3658,3877,1
4,8,3951,3711,1
5,8,5494,2959,1
6,8,5669,2998,1
7,8,4196,1879,1
8,8,4235,1967,1
9,8,5529,1634,1
10,8,4126,874,1
11,8,3947,1005,1
12,8,3829,1188,1
13,8,2605,1494,1
14,8,2120,2981,1
15,8,2391,2622,1
16,8,3326,2635,1
17,8,4205,3243,1
18,8,4270,2281,1
19,8,2810,3632,1
20,8,2570,3038,1
1,9,3811,3737,1
2,9,3776,3864,1
3,9,3702,3846,1
4,9,3938,3676,1
5,9,5407,3112,1
6,9,5669,2998,1
7,9,4178,1862,1
8,9,4288,1971,1
9,9,5525,1704,1
10,9,4060,917,1
11,9,3947,1005,1
12,9,3851,1158,1
13,9,2552,1525,1
14,9,2194,2920,1
15,9,2377,2570,1
16,9,3322,2679,1
17,9,4213,3260,1
18,9,4331,2242,1
19,9,2867,3566,1
20,9,2552,3090,1
1,10,3851,3706,1
2,10,3798,3794,1
3,10,3750,3816,1
4,10,3956,3746,1
5,10,5437,3051,1
6,10,5687,3016,1
7,10,4178,1862,1
8,10,4393,1975,1
9,10,5547,1770,1
10,10,4030,996,1
11,10,3947,1005,1
12,10,3868,1145,1
13,10,2552,1525,1
14,10,2233,2858,1
15,10,2386,2526,1
16,10,3326,2727,1
17,10,4213,3260,1
18,10,4340,2194,1
19,10,2871,3523,1
20,10,2535,3112,1
1,11,3912,3654,1
2,11,3837,3759,1
3,11,3816,3741,1
4,11,3977,3846,1
5,11,5394,3059,1
6,11,5730,3046,1
7,11,4178,1862,1
8,11,4458,1975,1
9,11,5573,1827,1
10,11,4030,996,1
11,11,3947,1005,1
12,11,3903,1140,1
13,11,2552,1525,1
14,11,2290,2753,1
15,11,2364,2662,1
16,11,3335,2749,1
17,11,4213,3260,1
18,11,4423,2159,1
19,11,2902,3470,1
20,11,2517,3156,1
1,12,3916,3654,1
2,12,3881,3733,1
3,12,3872,3693,1
4,12,3921,3916,1
5,12,5341,3081,1
6,12,5748,3077,1
7,12,4178,1862,1
8,12,4489,1975,1
9,12,5647,1897,1
10,12,4030,996,1
11,12,3947,1005,1
12,12,3986,1110,1
13,12,2517,1556,1
14,12,2343,2688,1
15,12,2364,2662,1
16,12,3374,2836,1
17,12,4213,3260,1
18,12,4519,2141,1
19,12,2950,3400,1
20,12,2500,3221,1
1,13,3916,3654,1
2,13,3903,3724,1
3,13,3929,3680,1
4,13,3956,3916,1
5,13,5311,3125,1
6,13,5756,3182,1
7,13,4178,1862,1
8,13,4533,1975,1
9,13,5713,1949,1
10,13,4030,996,1
11,13,3947,1005,1
12,13,3995,1075,1
13,13,2452,1621,1
14,13,2404,2561,1
15,13,2364,2662,1
16,13,3357,2801,1
17,13,4213,3260,1
18,13,4576,2141,1
19,13,2981,3365,1
20,13,2487,3379,1
1,14,3916,3654,1
2,14,3942,3706,1
3,14,3942,3750,1
4,14,3785,3907,1
5,14,5267,3147,1
6,14,5708,3177,1
7,14,4178,1862,1
8,14,4598,1975,1
9,14,5796,1967,1
10,14,4030,996,1
11,14,3947,1005,1
12,14,4043,1084,1
13,14,2439,1687,1
14,14,2377,2504,1
15,14,2565,2622,1
16,14,3374,2854,1
17,14,4213,3269,1
18,14,4607,2141,1
19,14,3007,3330,1
20,14,2482,3400,1
1,15,3916,3654,1
2,15,3956,3671,1
3,15,3977,3781,1
4,15,3864,3903,1
5,15,5241,3129,1
