device_id,timestamp,x,y,status
1,1,4200,1206,1
2,1,4347,1233,1
3,1,4299,1346,1
4,1,4362,1391,1
5,1,4430,1558,1
6,1,4917,2331,1
7,1,5335,3033,1
8,1,4917,3194,1
9,1,4917,3209,1
10,1,4403,3275,1
11,1,3723,3758,1
12,1,3952,155,1
13,1,2788,3260,1
14,1,2788,3254,1
15,1,2788,3254,1
16,1,2788,3254,1
17,1,3248,4144,1
18,1,2412,3720,1
19,1,3275,1104,1
20,1,3242,1104,1
1,2,4227,1233,1
2,2,4335,1262,1
3,2,4299,1346,1
4,2,4341,1409,1
5,2,4385,1534,1
6,2,4917,2382,1
7,2,5296,3054,1
8,2,4917,3203,1
9,2,4917,3209,1
10,2,4350,3293,1
11,2,4057,3788,1
12,2,3920,200,1
13,2,2788,3254,1
14,2,2788,3254,1
15,2,2788,3254,1
16,2,2788,3254,1
17,2,3179,4144,1
18,2,2400,3702,1
19,2,3308,1146,1
20,2,3266,1143,1
1,3,4257,1262,1
2,3,4341,1295,1
3,3,4308,1334,1
4,3,4302,1418,1
5,3,4370,1504,1
6,3,4914,2430,1
7,3,5275,3072,1
8,3,4911,3206,1
9,3,4917,3209,1
10,3,4305,3305,1
11,3,4015,3800,1
12,3,3878,226,1
13,3,2788,3254,1
14,3,2788,3254,1
15,3,2788,3254,1
16,3,2788,3254,1
17,3,3128,4144,1
18,3,2367,3687,1
19,3,3334,1176,1
20,3,3296,1194,1
1,4,4284,1298,1
2,4,4347,1313,1
3,4,4308,1334,1
4,4,4290,1388,1
5,4,4362,1489,1
6,4,4917,2498,1
7,4,5248,3087,1
8,4,4911,3206,1
9,4,4917,3209,1
10,4,4278,3320,1
11,4,3973,3806,1
12,4,3905,226,1
13,4,2788,3254,1
14,4,2788,3254,1
15,4,2788,3254,1
16,4,2788,3254,1
17,4,3051,4144,1
18,4,2328,3675,1
19,4,3349,1221,1
20,4,3314,1245,1
1,5,4311,1334,1
2,5,4341,1343,1
3,5,4308,1334,1
4,5,4302,1355,1
5,5,4335,1445,1
6,5,4920,2537,1
7,5,5218,3111,1
8,5,4917,3209,1
9,5,4917,3209,1
10,5,4224,3343,1
11,5,3917,3809,1
12,5,3955,206,1
13,5,2788,3254,1
14,5,2788,3254,1
15,5,2788,3254,1
16,5,2788,3254,1
17,5,3006,4141,1
18,5,2337,3678,1
19,5,3349,1274,1
20,5,3328,1304,1
